Region,Storage,Year,Value,,Unit,Source,Updated at,Updated by
North America,S_Battery_Li-Ion,2025,0.2087856,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,S_Battery_Li-Ion,2025,0.0854064,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,S_Battery_Li-Ion,2030,0.005832,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,S_Battery_Li-Ion,2030,0.01458,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,S_Battery_Li-Ion,2030,0.68148,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,S_Battery_Li-Ion,2030,0.10152,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,S_Battery_Li-Ion,2030,0.002916,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,S_Battery_Li-Ion,2030,0.011664,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,S_Battery_Li-Ion,2030,0.008748,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,S_Battery_Li-Ion,2030,0.008748,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,S_Battery_Li-Ion,2030,0.03456,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,S_Battery_Li-Ion,2030,0.2087856,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,S_Battery_Li-Ion,2030,0.0854064,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,S_Battery_Li-Ion,2035,0.005832,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,S_Battery_Li-Ion,2035,0.01458,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,S_Battery_Li-Ion,2035,0.68148,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,S_Battery_Li-Ion,2035,0.10152,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,S_Battery_Li-Ion,2035,0.002916,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,S_Battery_Li-Ion,2035,0.011664,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,S_Battery_Li-Ion,2035,0.008748,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,S_Battery_Li-Ion,2035,0.008748,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,S_Battery_Li-Ion,2035,0.03456,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,S_Battery_Li-Ion,2035,0.2087856,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,S_Battery_Li-Ion,2035,0.0854064,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,S_Battery_Li-Ion,2040,0.005832,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,S_Battery_Li-Ion,2040,0.01458,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,S_Battery_Li-Ion,2040,0.68148,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,S_Battery_Li-Ion,2040,0.10152,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,S_Battery_Li-Ion,2040,0.002916,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,S_Battery_Li-Ion,2040,0.011664,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,S_Battery_Li-Ion,2040,0.008748,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,S_Battery_Li-Ion,2040,0.008748,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,S_Battery_Li-Ion,2040,0.03456,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,S_Battery_Li-Ion,2040,0.2087856,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,S_Battery_Li-Ion,2040,0.0854064,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,S_Battery_Li-Ion,2045,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,S_Battery_Li-Ion,2045,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,S_Battery_Li-Ion,2045,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,S_Battery_Li-Ion,2045,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,S_Battery_Li-Ion,2045,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,S_Battery_Li-Ion,2045,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,S_Battery_Li-Ion,2045,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,S_Battery_Li-Ion,2045,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,S_Battery_Li-Ion,2045,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,S_Battery_Li-Ion,2045,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,S_Battery_Li-Ion,2045,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,S_Battery_Li-Ion,2050,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,S_Battery_Li-Ion,2050,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,S_Battery_Li-Ion,2050,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,S_Battery_Li-Ion,2050,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,S_Battery_Li-Ion,2050,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,S_Battery_Li-Ion,2050,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,S_Battery_Li-Ion,2050,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,S_Battery_Li-Ion,2050,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,S_Battery_Li-Ion,2050,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,S_Battery_Li-Ion,2050,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,S_Battery_Li-Ion,2050,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,S_Battery_Li-Ion,2055,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,S_Battery_Li-Ion,2055,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,S_Battery_Li-Ion,2055,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,S_Battery_Li-Ion,2055,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,S_Battery_Li-Ion,2055,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,S_Battery_Li-Ion,2055,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,S_Battery_Li-Ion,2055,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,S_Battery_Li-Ion,2055,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,S_Battery_Li-Ion,2055,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,S_Battery_Li-Ion,2055,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,S_Battery_Li-Ion,2055,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Africa,S_Battery_Li-Ion,2060,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Asia-Rest,S_Battery_Li-Ion,2060,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
China,S_Battery_Li-Ion,2060,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Europe,S_Battery_Li-Ion,2060,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
FSU,S_Battery_Li-Ion,2060,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
India,S_Battery_Li-Ion,2060,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Japan + Republic of Korea,S_Battery_Li-Ion,2060,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Central & South America,S_Battery_Li-Ion,2060,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Middle East,S_Battery_Li-Ion,2060,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
North America,S_Battery_Li-Ion,2060,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
Oceania,S_Battery_Li-Ion,2060,0,,PJ,based on ResidualCapacity of D_Battery_Li-Ion,10.07.2026,Julian Bornemann <jb@wip.tu-berlin.de>
